Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_10,2023,0.13520482,3063,502.4548,0.006855374,0.045849707,2872.1763,572.8363,0.001548466,39.01401,226.9074,14.011225,5.566735
Grid_Cell_10,2024,0.13039368,13110,445.92545,0.006538721,0.052602995,3038.2139,483.78305,0.002287824,46.082207,232.44093,13.815729,5.71843
Grid_Cell_10,2025,0.15002874,16728,545.2934,0.00660832,0.058316257,2869.7566,543.046,0.001267437,39.48998,227.03935,13.636194,5.3223076
Grid_Cell_100,2000,0.15537953,0,415.41977,0.005039047,0.23135155,2765.7742,449.7527,0.000866,32.981792,164.01215,11.213373,4.126115
Grid_Cell_100,2001,0.17507212,0,436.7046,0.005544862,0.15029283,2451.4949,556.7778,0.000795,34.303795,192.26877,10.994501,4.173725
Grid_Cell_100,2002,0.214469,0,456.302,0.005083899,0.17930642,2481.7107,483.63156,0.003402192,32.022316,226.22255,10.539423,3.9657345
Grid_Cell_100,2003,0.23405966,0,409.265,0.00541939,0.13810112,2170.3604,461.8955,0.014319147,29.475225,229.03322,9.521784,3.982609
Grid_Cell_100,2004,0.1785044,0,461.59778,0.006036591,0.1976959,2141.6672,572.7564,0.001989618,30.178864,250.60962,10.998774,4.170569
Grid_Cell_100,2005,0.19310524,0,458.4129,0.005516257,0.20031911,2376.3853,531.50793,0.00220325,24.37822,261.62418,11.777124,4.0571527
Grid_Cell_100,2006,0.22914907,0,458.8582,0.005242133,0.16954315,2656.5005,462.8513,0.007641291,25.566841,231.11751,11.602289,4.101453
Grid_Cell_100,2007,0.17775944,0,409.79147,0.004776051,0.18503071,3013.3303,386.3484,0.000775,34.265484,196.9507,12.583521,4.2018905
Grid_Cell_100,2008,0.17917806,0,430.9773,0.005016552,0.16653822,2515.9946,415.15506,0.003998692,27.80012,187.59697,11.329432,3.8553596
Grid_Cell_100,2009,0.19692004,0,445.86874,0.004760471,0.18422285,2625.0747,496.03864,0.003236658,26.237741,196.17744,11.413385,4.0262284
Grid_Cell_100,2010,0.20644209,0,436.71625,0.004962212,0.17930074,2781.6267,497.91348,0.006211706,24.243185,228.89452,12.603724,4.1943865
Grid_Cell_100,2011,0.2031628,0,507.5178,0.004995138,0.26758835,2663.4976,487.50766,0.005880205,23.671381,222.69418,10.474421,4.431001
Grid_Cell_100,2012,0.2543599,0,405.69855,0.005220267,0.22175701,2973.4968,397.6595,0.014598032,25.334497,186.36072,11.58053,4.9153075
Grid_Cell_100,2013,0.20039195,0,382.42654,0.005080831,0.06551918,3005.2522,372.41315,0.000692,32.351707,154.60278,12.336451,4.829234
Grid_Cell_100,2014,0.17110656,0,319.27618,0.004608825,0.06315874,3320.4077,310.0194,0.000818,37.174183,128.57631,11.56756,5.2540298
Grid_Cell_100,2015,0.16006972,0,355.83752,0.004926852,0.060393956,3191.26,360.19943,0.00056,40.51831,133.60204,12.676233,4.982807
Grid_Cell_100,2016,0.17814276,0,323.5299,0.005394899,0.04706861,2807.6316,340.2226,0.000586,38.494003,144.64996,12.079676,4.598042
Grid_Cell_100,2017,0.1717189,0,299.29337,0.005184366,0.049599744,3034.9226,287.81027,0.002141161,38.3895,140.50754,12.550867,4.8419003
Grid_Cell_100,2018,0.16513216,263,314.18643,0.004939096,0.060465515,3291.2988,341.8859,0.000665,40.653973,130.85301,12.901361,4.9529943
Grid_Cell_100,2019,0.14004664,70,323.46603,0.00529181,0.04945218,3065.5657,267.2827,0.000576,42.192585,140.70663,13.299768,4.7005963
Grid_Cell_100,2020,0.12985365,75,348.04816,0.004888756,0.07413069,3478.1096,354.70676,0.000663,41.639214,152.79694,13.360132,5.2113047
Grid_Cell_100,2021,0.15560126,161,471.64124,0.00530517,0.048278812,3112.9766,521.50714,0.001017325,29.614893,171.90918,13.315821,4.9231944
Grid_Cell_100,2022,0.15728256,449,480.48938,0.005090071,0.051973257,3328.837,502.06393,0.001084873,28.855648,185.46922,13.303186,5.26051
Grid_Cell_100,2023,0.14672184,3063,499.41138,0.005591895,0.044916403,3097.1516,523.37885,0.001957021,30.305866,188.84244,13.899805,5.135399
Grid_Cell_100,2024,0.14209813,13110,392.68756,0.004854323,0.06355325,3574.495,403.598,0.001056694,43.00235,176.61087,13.741632,5.129527
Grid_Cell_100,2025,0.1403444,16728,467.32294,0.005339383,0.04960126,3194.7502,471.19205,0.000667,40.2217,166.41235,13.684198,4.708059
Grid_Cell_101,2000,0.14935336,0,398.63467,0.00500724,0.24363448,2803.15,432.2382,0.000762,34.925632,156.53854,11.170984,4.153959
Grid_Cell_101,2001,0.16940184,0,426.49103,0.005512944,0.14199513,2488.342,539.86176,0.000722,35.87377,185.53218,11.001032,4.175814
Grid_Cell_101,2002,0.2096506,0,446.84122,0.005049782,0.21567029,2515.0225,474.0444,0.003045569,33.39711,221.48375,10.557093,3.9602208
Grid_Cell_101,2003,0.22195171,0,403.1468,0.005417832,0.11885811,2196.8547,443.62836,0.012303309,31.057636,225.17897,9.566309,4.0258284
Grid_Cell_101,2004,0.17283475,0,450.08844,0.005991728,0.21641621,2198.2747,552.4777,0.001894713,31.507002,246.08963,11.01568,4.248131
Grid_Cell_101,2005,0.18418933,0,465.5841,0.005499496,0.20271464,2430.977,527.89215,0.002577675,24.767715,262.3109,11.821985,4.135509
Grid_Cell_101,2006,0.22151516,0,450.14798,0.005229462,0.18564065,2697.0063,453.0114,0.007536569,26.855118,229.22961,11.573084,4.1772747
Grid_Cell_101,2007,0.1713928,0,408.2881,0.004781989,0.18578435,3045.4395,384.21756,0.000755,34.992138,198.75873,12.547297,4.2840137
