Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_100,2021,0.27521232,3528,419.2364,0.007654885,0.095479086,4996.2817,507.33002,0.000444,64.40372,88.24191,28.848993,4.1443243
Grid_Cell_100,2022,0.27521232,3730,453.67084,0.008023102,0.09256579,4802.547,773.83405,0.000835,62.31577,94.47424,27.724054,4.1568456
Grid_Cell_100,2023,0.27521232,3549,484.17145,0.007829339,0.090622686,4956.4053,578.5204,0.000425,58.21623,94.9633,29.145441,4.0054674
Grid_Cell_100,2024,0.27529383,4400,479.26605,0.008231545,0.09077918,4906.491,710.87897,0.00076,66.43247,95.33392,28.607843,4.1238923
Grid_Cell_100,2025,0.27521232,5521,449.99042,0.007438132,0.0885759,4908.479,642.77985,0.000594,60.372967,95.39469,28.955133,4.050402
Grid_Cell_101,2000,0.27798307,142,542.1122,0.00536178,0.23862837,4208.048,476.64178,0.000507,44.391327,207.39833,29.550592,2.6497226
Grid_Cell_101,2001,0.27790767,108,518.1269,0.008276183,0.25937736,3800.0989,593.67596,0.00089,50.410995,196.6568,28.414759,2.4669445
Grid_Cell_101,2002,0.27790767,139,495.0697,0.007730824,0.23326492,4052.2874,467.8225,0.000459,54.832188,199.48962,29.294153,2.3911455
Grid_Cell_101,2003,0.27790767,183,508.63797,0.008968209,0.27796134,3652.322,589.6411,0.000925,51.54828,205.92764,28.621271,2.3161366
Grid_Cell_101,2004,0.27798826,202,518.0718,0.008411851,0.1380553,3815.5723,537.84174,0.00087,51.467026,210.56487,29.160028,2.3983014
Grid_Cell_101,2005,0.27790767,114,547.6231,0.009311619,0.27141201,3780.5884,618.502,0.00114651,53.24433,216.90587,28.688715,2.493728
Grid_Cell_101,2006,0.27790767,108,583.78284,0.008231654,0.140613,4099.112,686.1672,0.001664486,46.97664,224.77548,28.847742,2.5426855
Grid_Cell_101,2007,0.27790767,184,568.11084,0.008268151,0.25148058,4162.64,637.0013,0.001124027,49.51204,228.91045,28.61059,2.6895275
Grid_Cell_101,2008,0.27798826,177,494.37134,0.008813373,0.14099108,3926.7,606.6027,0.001392736,55.31067,220.97832,28.066126,2.6591847
Grid_Cell_101,2009,0.27790767,163,539.8471,0.008734012,0.3276694,4091.2954,518.44214,0.000804,48.941277,210.04887,29.486506,2.6582148
Grid_Cell_101,2010,0.27790767,329,535.7188,0.008665048,0.16713317,4200.0566,644.9609,0.004054822,51.472515,208.72897,29.459497,2.6508248
Grid_Cell_101,2011,0.27790767,283,535.317,0.00815647,0.15441616,4596.715,485.622,0.002041832,57.37358,203.05455,29.5104,3.260659
Grid_Cell_101,2012,0.27798826,691,582.87634,0.008441393,0.26839793,4414.554,741.63776,0.004865738,52.000366,205.99193,29.66778,3.267254
Grid_Cell_101,2013,0.27790767,739,548.02515,0.007843824,0.092927955,4583.9683,550.37775,0.003065154,52.121063,210.90497,30.380396,3.1734805
Grid_Cell_101,2014,0.27790767,959,500.73343,0.008022999,0.09402158,4574.5586,496.37448,0.004150938,53.99241,193.38887,30.363642,3.195982
Grid_Cell_101,2015,0.27790767,955,533.6433,0.007449931,0.09125313,4619.9,544.26605,0.003352127,54.57144,190.28453,29.113398,3.2501702
Grid_Cell_101,2016,0.27798826,792,299.14224,0.007697901,0.09611503,4636.4062,183.2233,0.000511,66.21178,141.23917,29.647242,3.1879327
Grid_Cell_101,2017,0.27790767,952,230.22087,0.007513715,0.097042,4949.377,226.2762,0.001173757,74.61483,83.06838,29.393915,3.6174486
Grid_Cell_101,2018,0.27790767,1402,209.46857,0.007740134,0.09749751,5041.218,208.59984,0.000498,80.52378,76.73567,29.587214,3.8095698
Grid_Cell_101,2019,0.27790767,1634,282.64957,0.008356848,0.09345208,4842.8306,305.45642,0.00185274,74.1317,86.6154,29.257502,3.8423774
Grid_Cell_101,2020,0.27798826,2854,609.6063,0.008390478,0.0898842,4936.238,685.4901,0.006749628,55.096733,198.8076,28.570368,4.1038256
Grid_Cell_101,2021,0.27790767,3528,529.9936,0.007753166,0.09172803,4942.0996,507.39697,0.00291975,56.1812,193.5572,28.812433,4.0977836
